PUBUKPRN,KISCOURSEID,TAverage
10000385,BAPHO,300
10000385,BATXT,326
10000385,BAVCO,315
10000385,BAVFX,322
10000536,CA49BADF,288
10000536,CA49BAFA,288
10000536,CA49BAPM,274
10000536,CA49BASR,274
10000571,BA-3DIMO,384
10000571,BA-ACT,366
10000571,BA-BM,269
10000571,BA-BMACC,276
10000571,BA-BMHRM,276
10000571,BA-BMINT,272
10000571,BA-BMM,291
10000571,BA-BMTM,276
10000571,BA-CAP,335
10000571,BA-CM,291
10000571,BA-CMP,300
10000571,BA-CW,333
10000571,BA-DA,338
10000571,BA-DS,294
10000571,BA-EDSIN,303
10000571,BA-EN,278
10000571,BA-ES,248
10000571,BA-EY,264
10000571,BA-EYSIN,310
10000571,BA-FD,389
10000571,BA-FINEART,362
10000571,BA-FSS,288
10000571,BA-FTD,315
10000571,BA-FTV,283
10000571,BA-GEHU,259
10000571,BA-GRAPHCOM,376
10000571,BA-HAD,311
10000571,BA-HY,278
10000571,BA-IE,286
10000571,BA-IEDSIN,286
10000571,BA-MC,258
10000571,BA-MT,310
10000571,BA-MUS,269
10000571,BA-PH,310
10000571,BA-RPE,295
10000571,BA-TP,366
10000571,BA-YC,286
10000571,BAMA-CM,356
10000571,BAMA-TDFI,429
10000571,BS-BI,282
10000571,BS-BICB,282
10000571,BS-BIHB,282
10000571,BS-CRI,289
10000571,BS-EV,263
10000571,BS-FS,297
10000571,BS-GDS,259
10000571,BS-GE,258
10000571,BS-GEPH,259
10000571,BS-HN,302
10000571,BS-PS,310
10000571,BS-SC,300
10000571,F-05,282
10000571,F-07,310
10000571,F-11,259
10000571,F-21,289
10000571,F-25,274
10000571,F-29,283
10000571,F-31,293
10000571,F-34,276
10000571,F-35,292
10000571,F-36,359
10000571,F-37,326
10000571,F-40,286
10000571,MOD-CWAEN,314
10000571,MOD-CWAPU,316
10000654,ANMLMFH01,261
10000671,K0078,253
10000671,K0206,253
10000712,BA_AAM,275
10000712,BA_BEN,304
10000712,BA_BTM,275
10000712,BA_CAMM,269
10000712,BA_CHI,286
10000712,BA_CHIE,286
10000712,BA_DMK,240
10000712,BA_EVE,262
10000712,BA_HBMM,280
10000712,BA_HEV,280
10000712,BA_HMM,278
10000712,BA_HRM,261
10000712,BA_HTM,318
10000712,BA_ITB,303
10000712,BA_MKT,203
10000712,BA_MWE,264
10000712,BA_SFS,275
10000712,BA_SM_,263
10000712,BA_SPA,275
10000712,BSCAFN,261
10000712,BSCCSC,261
10000712,BSCFDI,261
10000712,BSCITM,291
10000712,BSCSPT,289
10000712,FDGAAH,295
10000712,FDGAFN,303
10000712,FDGBCT,303
10000712,FDGBTM,295
10000712,FDGBUS,314
10000712,FDGCAMM,240
10000712,FDGCHI,292
10000712,FDGCHIE,292
10000712,FDGCSC,303
10000712,FDGDMK,189
10000712,FDGEVE,371
10000712,FDGFDI,303
10000712,FDGHBMM,280
10000712,FDGHEV,260
10000712,FDGHMM,280
10000712,FDGHRM,303
10000712,FDGITBH,184
10000712,FDGMKT,293
10000712,FDGMWE,206
10000712,FDGSFS,295
10000712,FDGSM_,233
10000712,FDGSPA,295
10000712,FDGSPT,275
10000712,FDGTHM,423
10000820,FDBBF,211
10000820,FDCGIAVF,318
10000820,FDCGIAVF,257
10000820,FDCGIMAF,318
10000820,FDCGIMAF,257
10000820,FDCONF,257
10000820,FDPADF,318
10000820,FDTEMBF,211
10000824,BAAAF_VL46,284
10000824,BAAFFS_L100,313
10000824,BAAFFS_N420,313
10000824,BAAFFS_NL31,313
10000824,BAAFFS_NM41,313
10000824,BAAFFS_NN13,313
10000824,BAAFFS_NN41,313
10000824,BAAFFS_NN43,313
10000824,BAAS_N590,315
10000824,BABSS_N100,325
10000824,BACAAF_GW4F,368
10000824,BACOMMF_P900,318
10000824,BACVAF_W280,382
10000824,BAEF_Q300,344
10000824,BAELMS_N506,278
10000824,BAEMS_N820,316
10000824,BAFF_T6H3,341
10000824,BAHF_H4F5,253
10000824,BAIHMS_N863,288
10000824,BAINDS_W242,286
10000824,BAMCS_N591,316
10000824,BAMMJF_P500,353
10000824,BAMPF_PH10,350
10000824,BAMSWF_W620,352
10000824,BAPOF_P486,309
10000824,BAPRS_P210,316
10000824,BARMS_N240,282
10000824,BASAF_LL36,266
10000824,BASCF_H2L9,274
10000824,BASF_18J3,274
10000824,BASPDS_H101,307
10000824,BASPDS_W240,307
10000824,BASWF_L500,322
10000824,BATMS_N800,310
10000824,BATPF_W621,368
10000824,BSAAFSF_4K2M,291
10000824,BSAAFSF_4K2M,253
10000824,BSAAFSF_4K2M,306
10000824,BSAF_J21B,291
10000824,BSANF_B700,343
10000824,BSANF_B740,343
10000824,BSARCF_F400,252
10000824,BSBSF_C100,258
10000824,BSCESF_CB69,310
10000824,BSCOFS_G503,312
10000824,BSCOFS_G506,312
10000824,BSCOFS_G550,312
10000824,BSCOFS_G602,312
10000824,BSCOFS_G610,312
10000824,BSCOFS_I120,312
10000824,BSCSMF_2DA6,328
10000824,BSCYNF_B702,322
10000824,BSCYNF_B730,343
10000824,BSDES_H100,294
10000824,BSEVSF_D449,288
10000824,BSEWCF_CD14,282
10000824,BSFBF_F3B7,282
10000824,BSFBF_F3B7,306
10000824,BSFIF_F401,328
10000824,BSFSCF_F413,303
10000824,BSGF_F800,288
10000824,BSGPS_I610,348
10000824,BSGTS_G601,319
10000824,BSMATS_J932,320
10000824,BSMNF_B701,295
10000824,BSMNF_B761,343
10000824,BSMSPS_W390,335
10000824,BSMS_N504,326
10000824,BSMWF_B720,404
10000824,BSNF_B400,301
10000824,BSOTF_B930,415
10000824,BSPF_C800,298
10000824,BSPSF_86G3,343
10000824,BSPTF_B160,382
10000824,BSSDAGF_GG74,444
10000824,BSSDCSS_C600,343
10000824,BSSMGS_N2C6,288
10000824,BSSMS_N290,322
10000824,BSSPCSS_CX81,313
10000824,LLBLFS_M100,318
10000824,MAFAFF_N420,311
10000824,MAFAFF_N420,314
10000824,MDPDF_3LD4,316
10000824,MEES_H105,280
10000824,MLEF_K284,344
10000824,MNNF_R421,301
10000886,H1CC008GUU,336
10000886,H1CC009GUU,342
10000886,H1EA007MAU,352
10000886,H1EA008MUU,348
10000886,H1EA017GUU,360
10000886,H1EA017GUU,311
10000886,H1EA018GUU,311
10000886,H1EA018GUU,360
10000886,H2EA004GAU,389
10000886,H2EA006GAU,317
10000886,H2EA007GAU,396
10000886,H2EA008GAU,412
10000886,H2EA009GAU,371
10000886,H2EA020GUU,364
10000886,H2EA021GUU,366
10000886,H2EA023GAU,360
10000886,H3EA001GUU,269
10000886,H3EA001GUU,261
10000886,H3EA004GUU,309
10000886,H3EA008GUU,349
10000886,H3EA010GUU,276
10000886,H3EA011GUU,280
10000886,H3EA014GUU,290
10000886,H6EA003GUU,320
10000886,H6FS001MUU,218
10000886,H7EA001GUU,264
10000886,H7EA002FUU,303
10000886,H7EA003FUU,309
10000886,H7EA004GUU,242
10000886,H7EA005GUU,267
10000886,H7EA006GUU,267
10000886,H7EA006GUU,269
10000886,H7EA007FUU,337
10000886,H7EA007FUU,303
10000886,H7EA008FUU,337
10000886,H7EA008FUU,303
10000886,H7EA009FUU,302
10000886,H8CC002GUU,391
10000886,H8EA004EUU,326
10000886,H8EA005EUU,285
10000886,H8EA007EUU,297
10000886,H8EA008GUU,360
10000886,H8EA009GUU,360
10000886,H8EA009GUU,311
10000886,H8EA010EUU,360
10000886,H8EA011EUU,360
10000886,H8EA013EUU,297
10000886,H8EA015MUU,327
10000886,J1EG003MUU,312
10000886,J1EG004MUU,300
10000886,J1EG005MUU,325
10000886,J1EG007MUU,314
10000886,J1EG008MUU,314
10000886,J1EG009MUU,330
10000886,J1EG011MUU,282
10000886,J1EG012MUU,311
10000886,J1EG013MUU,301
10000886,J1EG014MUU,294
10000886,J1EG015MUU,311
10000886,J1EG016MUU,316
10000886,J1EG017MUU,311
10000886,J1EG018MUU,287
10000886,J1EG020MUU,287
10000886,J1EL001MUU,312
10000886,J1EL002MUU,297
10000886,J2EA001EUU,287
10000886,J2EA002EUU,311
10000886,J2EA015EUU,287
10000886,J2EA017EUU,274
10000886,J2EA028EUU,311
10000886,J4CA001MUU,292
10000886,J4CA003MUU,251
10000886,J4CE001MUU,292
10000886,J4CE002MUU,292
10000886,J4CE003MUU,292
10000886,J4EA008MUU,292
10000886,J4EA014MUU,289
10000886,J4ED001MUU,292
10000886,J4ED003MUU,251
10000886,J4ED004MUU,251
10000886,J4EG006MUU,298
10000886,J4EG007MUU,292
10000886,J4EG011MUU,278
10000886,J4EG018MUU,292
10000886,J4EG024MUU,280
10000886,J4EG025MUU,278
10000886,J4EG027MUU,311
10000886,J4EG028MUU,292
10000886,J4EG029MUU,292
10000886,J4EG030MUU,292
10000886,J4EG031MUU,280
10000886,J4EG036MUU,292
10000886,J4EG039MUU,303
10000886,J4FS001MUU,265
10000886,K1DA001EUU,358
10000886,K1EA006EUU,318
10000886,K1EA011EUU,364
10000886,K1EA014EUU,386
10000886,K1EG003EUU,338
10000886,K1EG009EUU,375
10000886,K2DA006FUU,340
10000886,K2DA053FUU,314
10000886,K2DA054FUU,345
10000886,K2DA079FUU,340
10000886,K2DA080FUU,340
10000886,K2EA014FUU,316
10000886,K2EA048FUU,316
10000886,K3EA019FUU,303
10000886,K3EA020FUU,302
10000886,K3EA021FUU,280
10000886,K3EA031FUU,304
10000886,K3EA032FUU,326
10000886,K7EA004EUU,307
10000886,K7EG003EUU,340
10000886,L1EA005FUU,272
10000886,L1EA006FUU,292
10000886,L1EA012FUU,318
10000886,L1EA015FUU,327
10000886,L1EA023FUU,320
10000886,L1EA027FUU,312
10000886,L1EA028FUU,269
10000886,L1EA029FUU,292
10000886,L1EG001FUU,383
10000886,L1EG002FUU,327
10000886,L1EG003FUU,303
10000886,L2EG001EUU,382
10000886,L2EG002EUU,306
10000886,L3EG021IUU,347
10000886,L3EG029IUU,322
10000886,L3EG032EUU,341
10000886,L3EG033EUU,353
10000886,L3EG034EUU,392
10000886,L7EG001EUU,303
10000886,P1CA001MUU,251
10000886,P1CA008MUU,278
10000886,P1CA011MUU,268
10000886,P1CA026MUU,268
10000886,P1ED001MUU,251
10000886,P1ED011MUU,301
10000886,P1ED026MUU,268
10000886,P1ED027MUU,307
10000886,P1EG028MAU,343
10000886,P1EG029MUU,360
10000886,P1EG031MUU,268
10000886,P2CA001MUU,320
10000886,P2EA001MUU,271
10000886,P2EA002MUU,297
10000886,P2EA002MUU,280
10000886,P2ED001MUU,300
10000886,P2ED008MUU,320
10000886,P2EG001MUU,288
10000886,P2EG002MUU,290
10000886,P2EG003MUU,272
10000886,P2EG004MUU,286
10000886,P2EG005MUU,286
10000886,P2EG008MUU,307
10000886,P2EG010MUU,295
10000886,P2EG013MUU,261
10000886,P3CB001MUU,390
10000886,P3CF001MUU,318
10000886,P3EG003MUU,282
10000886,P3EG006MUU,284
10000886,P3EG020MUU,361
10000886,P3EG021MUU,265
10000886,P3EG022MUU,308
10000886,P8CA002MUU,320
10000886,P8CA002MUU,310
10000886,P8CA003MUU,320
10000886,P8CA003MUU,286
10000886,P8CG001MDU,276
10000886,P8CH001MUU,280
10000886,P8ED001MUU,300
10000886,P8ED002MUU,222
10000886,P8ED003MUU,251
10000886,P8ED004MUU,217
10000886,P8ED006MUU,253
10000886,P8ED007MUU,320
10000886,P8ED007MUU,286
10000886,P8EG002MUU,280
10000886,P8EG004MUU,276
10000886,P8EG005MUU,310
10000886,P8EG005MUU,280
10000886,U2EA001EUU,316
10000886,U2EA001EUU,303
10000886,U2EA002EUU,316
10000886,U2EA002EUU,297
10000886,U2EA003EUU,289
10000886,U2EA003EUU,297
10000886,U2EA004EUU,289
10000886,U2EA004EUU,303
10000886,U2EA005EUU,265
10000886,U2EA016EUU,316
10000886,U2EA016EUU,289
10000886,U2EA017EUU,267
10000886,U2EA017EUU,303
10000886,U2EA018EUU,267
10000886,U2EA018EUU,289
10000886,U2EG003EUU,280
10000886,U2EG003EUU,292
10000886,U2EG004EUU,280
10000886,U2EG004EUU,316
10000886,U2EG005EUU,280
10000886,U2EG005EUU,311
10000886,U2EG006EUU,316
10000886,U2EG006EUU,292
10000886,U2EG007EUU,292
10000886,U2EG007EUU,311
10000886,U2EG008EUU,301
10000886,U2EG009EUU,316
10000886,U2EG009EUU,311
10000886,U2EG010EUU,381
10000886,U2EG010EUU,316
10000948,K0266,224
10000961,B160UPHYSIO-FT-BSC,371
10000961,B960UOT-FT-BSC,370
10000961,B990UBIOMEHH-FT-BSC,332
10000961,B990UBIOMEHH-SW-BSC,332
10000961,C400UBIOMEGE-FT-BSC,344
10000961,C400UBIOMEGE-SW-BSC,344
10000961,C550UBIOMEIM-FT-BSC,312
10000961,C550UBIOMEIM-SW-BSC,312
10000961,C600USPHESHP-FT-BSC,375
10000961,C600USPHESHP-SW-BSC,375
10000961,C600USPHESSD-FT-BSC,357
10000961,C600USPHESSD-SW-BSC,357
10000961,C600USPHEXS-FT-BSC,350
10000961,C600USPHEXS-SW-BSC,350
10000961,C600USPHEXSB-FT-BSC,331
10000961,C600USPHEXSB-SW-BSC,331
10000961,C722UBIOMECH-FT-BSC,334
10000961,C722UBIOMECH-SW-BSC,334
10000961,C800UPSYCHOL-FT-BSC,330
10000961,C800UPSYCHOL-SW-BSC,330
10000961,C900UBIOMED-FT-BSC,349
10000961,C900UBIOMED-SW-BSC,349
10000961,CL83UPSY-SOC-FT-BSC,308
10000961,CL83UPSY-SOC-SW-BSC,308
10000961,CL8PUPSYANTH-FT-BSC,333
10000961,CL8PUPSYANTH-FT-BSC,329
10000961,CL8PUPSYANTH-SW-BSC,333
10000961,CL8PUPSYANTH-SW-BSC,329
10000961,G100UFNMMATH-FT-MMATH,322
10000961,G100UFNMMATH-FT-MMATH,319
10000961,G100UFNMMATH-SW-MMATH,322
10000961,G100UFNMMATH-SW-MMATH,319
10000961,G100UMMATH-FT-MMATH,319
10000961,G100UMMATH-SW-MMATH,319
10000961,G100USMSTMG-FT-BSC,316
10000961,G100USMSTMG-SW-BSC,316
10000961,G100USMTH-FT-BSC,322
10000961,G100USMTH-SW-BSC,322
10000961,G1G4USMTHCPS-FT-BSC,319
10000961,G1G4USMTHCPS-SW-BSC,319
10000961,G400UCSARTIN-FT-BSC,366
10000961,G400UCSARTIN-SW-BSC,366
10000961,G400UDIGMEDI-FT-BSC,398
10000961,G400UDIGMEDI-SW-BSC,398
10000961,G400UNETWKCM-FT-BSC,297
10000961,G400UNETWKCM-SW-BSC,297
10000961,G400USCMPSC1-FT-BSC,336
10000961,G400USCMPSC1-SW-BSC,336
10000961,G400USOFENG1-FT-BSC,343
10000961,G400USOFENG1-SW-BSC,343
10000961,G500UBUSCOME-FT-BSC,297
10000961,G500UBUSCOME-SW-BSC,297
10000961,G500UBUSCOMH-FT-BSC,297
10000961,G500UBUSCOMH-SW-BSC,297
10000961,G500UBUSCOMP-FT-BSC,326
10000961,G500UBUSCOMP-SW-BSC,326
10000961,G500UBUSCOMS-FT-BSC,297
10000961,G500UBUSCOMS-SW-BSC,297
10000961,G900USFINMTH-FT-BSC,318
10000961,G900USFINMTH-SW-BSC,318
10000961,H200UECVENGS-FT-BENG,336
10000961,H200UECVENGS-SW-BENG,336
10000961,H200UECVLENG-FT-BENG,322
10000961,H200UECVLENG-SW-BENG,322
10000961,H200UMCVENGS-FT-MENG,324
10000961,H200UMCVENGS-SW-MENG,324
10000961,H200UMCVLENG-FT-MENG,324
10000961,H200UMCVLENG-SW-MENG,324
10000961,H300UEMCHBSV-FT-BENG,371
10000961,H300UEMCHBSV-SW-BENG,371
10000961,H300UEMCHENG-FT-BENG,373
10000961,H300UEMCHENG-SW-BENG,373
10000961,H300UEMEENEN-FT-BENG,324
10000961,H300UEMEENEN-FT-BENG,371
10000961,H300UEMEENEN-SW-BENG,324
10000961,H300UEMEENEN-SW-BENG,371
10000961,H300UMMCHENG-FT-MENG,428
10000961,H300UMMCHENG-SW-MENG,428
10000961,H300UMMEBLDS-FT-MENG,371
10000961,H300UMMEBLDS-SW-MENG,371
10000961,H300UMMEENEN-FT-MENG,324
10000961,H300UMMEENEN-FT-MENG,371
10000961,H300UMMEENEN-SW-MENG,371
10000961,H300UMMEENEN-SW-MENG,324
10000961,H330UEAUTENG-FT-BENG,371
10000961,H330UEAUTENG-SW-BENG,371
10000961,H330UEMCHAUT-FT-BENG,362
10000961,H330UEMCHAUT-SW-BENG,362
10000961,H330UEMOTSPE-FT-BENG,380
10000961,H330UEMOTSPE-SW-BENG,380
10000961,H330UMAUTENG-FT-MENG,371
10000961,H330UMAUTENG-SW-MENG,371
10000961,H330UMMEAUT-FT-MENG,371
10000961,H330UMMEAUT-SW-MENG,371
10000961,H330UMMOTSPE-FT-MENG,371
10000961,H330UMMOTSPE-SW-MENG,371
10000961,H400UEAEROSP-FT-BENG,362
10000961,H400UEAEROSP-SW-BENG,362
10000961,H400UMAERENM-FT-MENG,363
10000961,H400UMAERENM-SW-MENG,363
10000961,H410UEMCHAER-FT-BENG,331
10000961,H410UEMCHAER-SW-BENG,331
10000961,H410UMMEAERO-FT-MENG,363
10000961,H410UMMEAERO-SW-MENG,363
10000961,H460UEAVENPS-FT-BENG,383
10000961,H460UEAVENPS-SW-BENG,383
10000961,H460UEAVIENG-FT-BENG,363
10000961,H460UEAVIENG-SW-BENG,363
10000961,H460UMAVENPS-FT-MENG,363
10000961,H460UMAVENPS-SW-MENG,363
10000961,H460UMAVIENG-FT-MENG,363
10000961,H460UMAVIENG-SW-MENG,363
10000961,H600UCOMPSEN-FT-MENG,340
10000961,H600UCOMPSEN-SW-MENG,340
10000961,H600UECSENW-FT-BENG,340
10000961,H600UECSENW-SW-BENG,340
10000961,H600UECSESW-FT-BENG,340
10000961,H600UECSESW-SW-BENG,340
10000961,H600UEEENG-FT-BENG,358
10000961,H600UEEENG-SW-BENG,358
10000961,H600UELACOMP-FT-MENG,340
10000961,H600UELACOMP-SW-MENG,340
10000961,H600UELECAEL-FT-MENG,340
10000961,H600UELECAEL-SW-MENG,340
10000961,H610UELCOMPE-FT-BENG,316
10000961,H610UELCOMPE-SW-BENG,316
10000961,H630UELENSPS-FT-MENG,340
10000961,H630UELENSPS-SW-MENG,340
10000961,H640UEELCMEN-FT-BENG,340
10000961,H640UEELCMEN-SW-BENG,340
10000961,H640UMELCMEN-FT-MENG,340
10000961,H640UMELCMEN-SW-MENG,340
10000961,H700USPRDDES-FT-BSC,360
10000961,H700USPRDDES-SW-BSC,360
10000961,H770USPRDDN-FT-BSC,404
10000961,H770USPRDDN-SW-BSC,404
10000961,H900UECSE-FT-BENG,328
10000961,H900UECSE-SW-BENG,328
10000961,L100UECNBF-FT-BSC,304
10000961,L100UECNBF-SW-BSC,304
10000961,L100UECNMGT-FT-BSC,314
10000961,L100UECNMGT-SW-BSC,314
10000961,L100UECON-FT-BSC,336
10000961,L100UECON-SW-BSC,336
10000961,L100UECONACT-FT-BSC,354
10000961,L100UECONACT-SW-BSC,354
10000961,L200UPLT-FT-BSC,304
10000961,L200UPLT-SW-BSC,304
10000961,L200UPLTECN-FT-BSC,297
10000961,L200UPLTECN-SW-BSC,297
10000961,L200UPLTSOC-FT-BSC,286
10000961,L200UPLTSOC-SW-BSC,286
10000961,L240UINTPLT-FT-BSC,302
10000961,L240UINTPLT-SW-BSC,302
10000961,L300USOCIOL-FT-BSC,288
10000961,L300USOCIOL-SW-BSC,288
10000961,L610UANTHRO-FT-BSC,300
10000961,L610UANTHRO-SW-BSC,300
10000961,LL3PUANTSOC-FT-BSC,333
10000961,LL3PUANTSOC-FT-BSC,286
10000961,LL3PUANTSOC-SW-BSC,333
10000961,LL3PUANTSOC-SW-BSC,286
10000961,LP33USOCMED-FT-BSC,276
10000961,LP33USOCMED-SW-BSC,276
10000961,LV21UPLT-HY-FT-BSC,299
10000961,LV21UPLT-HY-SW-BSC,299
10000961,M100ULAW2-FT-LLB,349
10000961,M100ULAW2-SW-LLB,349
10000961,M211ULAWCJ-FT-LLB,347
10000961,M211ULAWCJ-SW-LLB,347
10000961,M221ULAWIAC-FT-LLB,347
10000961,M221ULAWIAC-SW-LLB,347
10000961,N100UBUSACC-FT-BSC,341
10000961,N100UBUSACC-SW-BSC,341
10000961,N100UBUSMGT-FT-BSC,358
10000961,N100UBUSMGT-SW-BSC,358
10000961,N100UBUSMKT-FT-BSC,364
10000961,N100UBUSMKT-SW-BSC,364
10000961,N100UINTBUS-FT-BSC,382
10000961,N100UINTBUS-SW-BSC,382
10000961,N300UFINACC-FT-BSC,320
10000961,N300UFINACC-SW-BSC,320
10000961,P500UJOURNAL-FT-BA,358
10000961,P900UCMMEDST-FT-BSC,300
10000961,P900UCMMEDST-SW-BSC,300
10000961,Q300UENCRTWR-FT-BA,371
10000961,Q300UENGLISH-FT-BA,343
10000961,Q3W6UEN-FT-FT-BA,320
10000961,Q3W6UEN-FT-FT-BA,352
10000961,V140UHISTORY-FT-BA,314
10000961,V140UHISTORY-SW-BA,314
10000961,W200UADESTCH-FT-BA,353
10000961,W200UADESTCH-SW-BA,353
10000961,W280UDIGDES-FT-BSC,366
10000961,W280UDIGDES-FT-BSC,297
10000961,W280UDIGDES-SW-BSC,297
10000961,W280UDIGDES-SW-BSC,366
10000961,W280UGAMESDE-FT-BA,371
10000961,W300UMUSIC2-FT-BA,322
10000961,W310UBMUSPER-FT-BMUS,314
10000961,W380UBMUSCOM-FT-BMUS,314
10000961,W3J9USONARTS-FT-BA,314
10000961,W440UTHEACRW-FT-BA,352
10000961,W440UTHEAENG-FT-BA,350
10000961,W440UTHEAFTV-FT-BA,395
10000961,W440UTHEATRE-FT-BA,343
10000961,W600UFMTVSTD-FT-BA,318
10000961,W600UVISEFMG-FT-BSC,297
10000961,W600UVISEFMG-FT-BSC,320
10000961,W600UVISEFMG-SW-BSC,320
10000961,W600UVISEFMG-SW-BSC,297
10000961,W800UCRTWRIT-FT-BA,347
10000961,WW26UGMDSAFT-FT-BA,366
10000961,WW26UGMDSAFT-FT-BA,320
10000961,WW28UGMDSACW-FT-BA,404
10000961,X151USPHEEXS-FT-BSC,372
10000961,X151USPHEEXS-SW-BSC,372
10000961,X300UCONTPED-FT-BA,338
10000961,X300UPHEDYOS-FT-BSC,382
10000961,X300UPHEDYOS-SW-BSC,382
10000975,KBA1FTS1,280
10000975,KBB1AAF1,235
10000975,KBB1ADC1,263
10000975,KBB1BAF1,204
10000975,KBB1BAM1,254
10000975,KBB1BHR1,240
10000975,KBB1BHR1,258
10000975,KBB1MKT1,267
10000975,KBC2SWK1,296
10000975,KBD1PDI1,325
10000975,KBD1SDN1,323
10000975,KBD3PRA1,213
10000975,KBD3PRS1,213
10000975,KBG1AMP1,293
10000975,KBG1AVE1,280
10000975,KBG1FTV1,245
10000975,KBH1BLS1,255
10000975,KBH1BLS1,267
10000975,KBH1CMP1,282
10000975,KBH1PAC1,275
10000975,KBH1PSY1,220
10000975,KBH1SPP1,296
10000975,KBJ1CRM1,252
10000975,KBJ1PCJ1,267
10000975,KBJ1PCP1,255
10000975,KBJ1PCP1,267
10000975,KBJ1PSC1,320
10000975,KBJ1SSA1,267
10000975,KBL1BLW1,249
10000975,KBL1LAW1,245
10000975,KBM1EFM1,286
10000975,KBM1LEM1,266
10000975,KBM1MIM1,250
10000975,KBM1MPM1,266
10000975,KBM1MPM1,256
10000975,KBM2MSP1,296
10000975,KBN1ADN1,295
10000975,KBN1CHN1,304
10000975,KBN1MHN1,260
10000975,KBP1STC1,278
10000975,KBR1ATH1,284
10000975,KBS1DAF1,280
10000975,KBS1DAP1,288
10000975,KBS1EHF1,278
10000975,KBS1SBC1,256
10000975,KBS1SBC1,278
10000975,KBS1SBC1FW,278
10000975,KBS1SBC1FW,284
10000975,KBS1SBM1,276
10000975,KBS1SBM4,284
10000975,KBS1SBS1FW,240
10000975,KBS1SBS1FW,284
10000975,KBS1SDC1,278
10000975,KBS1SES1,278
10000975,KBS1SMK1,255
10000975,KBS1SPT1,278
10000975,KBS2AMG1,333
10000975,KBS2ATC1,283
10000975,KBS2ATP1,284
10000975,KBS2TMA1,289
10000975,KBS2TTM1,284
10000975,KBT1CTG1,352
10000975,KBT1CWD1,276
10000975,KBT1CWP1,240
10000975,KBT1GDV1,262
10000975,KBT1IGP1,277
10000975,KBT1SFT1,277
10000975,KBV1ADC1,362
10000975,KBV1GPA1,280
10000975,KBV1GRD1,325
10000975,KBV1ILL1,325
10000975,KBV1TSD1,352
10000975,KBV2FDN1,325
10000975,KFC1HSC1,287
10000975,KFC1HSC7,293
10000975,KFH1POL1,301
10000975,KFH1POL7,301
10000975,KFT1CTG1,376
10000975,KFU1CYS7,350
10001000,CYSWOR100,307
10001000,ULCRSO500,298
10001000,ULEDSO100,298
10001004,UBSD-04041,289
10001004,UBSD-04589,313
10001004,UBSD-04751,316
10001004,UBSD-09669,240
10001143,PFDDGAL4,313
10001143,PFDDGEB4,270
